rent,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
591.56,74,3,1966.0,no,yes,yes,Laim,normal,no,yes
171.61,34,1,1966.0,no,yes,yes,Neuh-Nymp,good,no,yes
840.22,93,4,1957.0,no,yes,yes,Lud-Isar,normal,no,yes
390.44,40,2,1975.0,no,yes,yes,Maxvor,good,no,yes
683.74,86,3,1972.0,no,yes,yes,Th-Ob-Fo-Fu-So,top,no,yes
778.34,95,3,1960.0,no,yes,yes,Ugies-Har,normal,no,yes
370.71,55,3,1960.0,no,yes,yes,Au-Haid,normal,no,yes
447.83,102,3,1918.0,no,yes,no,Ram-Per,normal,no,yes
286.95,40,1,1948.0,no,yes,yes,Ugies-Har,normal,no,yes
359.17,69,3,1960.0,no,no,no,Au-Haid,good,no,no
442.29,83,3,1966.0,no,no,yes,Ugies-Har,normal,no,yes
77.31,43,2,1948.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,no
257.18,31,1,1948.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
635.94,80,3,1982.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
533.66,93,4,1957.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
240.31,26,1,1957.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
424.38,77,3,1960.0,no,yes,yes,Laim,normal,no,yes
260.41,43,2,1957.0,no,no,yes,Laim,normal,no,yes
249.1,53,2,1957.0,no,no,yes,Laim,good,no,yes
426.61,72,3,1948.0,no,yes,yes,Laim,normal,no,yes
287.36,58,3,1957.0,no,no,no,Laim,normal,no,yes
624.3,68,2,1993.0,no,yes,yes,Laim,normal,no,yes
352.79,46,2,1918.0,no,yes,no,Send,normal,no,yes
595.66,74,3,1957.0,no,no,yes,Maxvor,good,no,yes
355.59,51,2,1993.0,no,yes,yes,Neuh-Nymp,good,no,yes
432.87,69,3,1948.0,no,yes,yes,Neuh-Nymp,normal,no,yes
321.77,44,1,1957.0,no,no,yes,Lud-Isar,normal,no,yes
377.25,72,3,1957.0,no,yes,no,Maxvor,good,no,no
288.88,78,3,1966.0,no,yes,yes,Maxvor,normal,no,yes
994.29,85,4,1957.0,no,yes,yes,Maxvor,good,no,yes
945.91,105,4,1966.0,no,yes,yes,Lud-Isar,good,no,yes
383.36,83,3,1918.0,no,yes,no,Lud-Isar,normal,no,yes
587.99,47,2,1994.0,no,yes,yes,Neuh-Nymp,good,no,yes
995.0,95,3,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
640.0,58,2,1960.0,no,yes,yes,Neuh-Nymp,normal,yes,yes
732.87,84,4,1957.0,no,yes,yes,Neuh-Nymp,normal,no,yes
516.05,80,3,1957.0,no,yes,yes,Neuh-Nymp,normal,no,yes
647.81,79,3,1948.0,no,yes,yes,SchwWest,good,no,yes
610.77,118,4,1918.0,no,yes,no,SchwWest,good,no,no
281.21,28,1,1968.0,no,yes,yes,Ugies-Har,good,no,yes
1073.73,95,3,1986.0,no,yes,yes,Ugies-Har,top,no,yes
537.44,53,2,1918.0,no,yes,yes,Ugies-Har,normal,no,yes
367.78,76,3,1948.0,no,yes,yes,Obgies,normal,no,yes
250.09,58,2,1966.0,no,yes,yes,Ram-Per,normal,no,yes
404.72,72,3,1957.0,no,yes,yes,Obgies,normal,no,yes
445.13,70,3,1966.0,no,yes,yes,Ugies-Har,normal,no,yes
564.27,80,3,1976.0,no,yes,yes,Ugies-Har,top,no,yes
562.43,57,2,1948.0,no,yes,yes,Ugies-Har,normal,no,yes
613.33,62,2,1972.0,no,yes,yes,Ugies-Har,normal,no,yes
542.86,59,2,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
1165.75,101,5,1960.0,no,yes,yes,Ugies-Har,normal,no,yes
320.07,35,1,1966.0,no,yes,yes,Ugies-Har,normal,no,yes
824.21,80,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
307.68,72,3,1918.0,no,yes,no,Au-Haid,good,no,no
498.79,73,3,1960.0,no,yes,yes,Ugies-Har,normal,no,yes
357.91,32,1,1975.0,no,yes,yes,Au-Haid,normal,no,yes
1053.25,61,2,1997.0,no,yes,yes,Ugies-Har,normal,yes,yes
761.94,91,4,1968.0,yes,yes,yes,Ugies-Har,good,no,yes
460.17,47,1,1996.0,no,yes,yes,Ugies-Har,normal,no,yes
368.59,52,2,2000.0,no,yes,yes,Ugies-Har,good,no,yes
417.34,52,2,1939.0,no,yes,yes,Ugies-Har,good,no,yes
584.25,70,2,1918.0,yes,yes,yes,Au-Haid,normal,no,yes
532.31,50,2,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
733.6,110,4,1918.0,yes,yes,no,Ugies-Har,normal,yes,yes
745.62,63,2,1918.0,no,yes,yes,Alt-Le,good,no,yes
483.69,48,1,1948.0,no,yes,yes,Maxvor,good,no,yes
574.25,69,3,1966.0,no,yes,yes,BamLaim,normal,no,yes
746.32,82,3,1918.0,no,no,yes,Lud-Isar,good,no,yes
480.88,79,3,1948.0,no,yes,yes,Lud-Isar,good,no,yes
402.91,100,4,1918.0,no,yes,yes,Lud-Isar,good,no,yes
640.39,95,3,1918.0,no,yes,no,Lud-Isar,normal,no,yes
458.03,86,4,1972.0,no,no,yes,Mil-AmH,normal,yes,yes
283.36,37,1,1969.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
483.16,70,3,1971.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
457.2,46,1,1971.0,no,yes,yes,Th-Ob-Fo-Fu-So,good,no,yes
637.95,91,4,1969.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
634.76,78,3,1987.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
749.05,91,3,1972.0,no,yes,yes,Send-West,normal,no,yes
741.39,94,4,1966.0,no,yes,yes,Send-West,normal,no,yes
434.24,60,3,1966.0,no,no,yes,Send,normal,no,yes
573.37,86,4,1970.0,no,yes,yes,Ram-Per,normal,no,yes
659.58,85,4,1969.0,no,yes,yes,Ram-Per,normal,no,yes
422.3,69,3,1973.0,no,yes,yes,Ram-Per,normal,no,yes
379.29,52,2,1973.0,no,yes,yes,Ram-Per,normal,no,yes
441.41,95,3,1957.0,no,yes,yes,Schwanth,normal,no,yes
805.33,104,3,1983.0,yes,yes,yes,Au-Lo-La,normal,yes,yes
680.03,72,2,1918.0,no,yes,yes,SchwWest,good,no,no
677.46,72,2,1990.0,no,yes,yes,SchwWest,good,no,yes
1012.86,85,3,1957.0,no,yes,yes,SchwWest,good,no,yes
605.31,85,3,1957.0,no,yes,yes,SchwWest,good,no,yes
689.2,103,4,1918.0,no,yes,yes,SchwWest,good,no,yes
613.56,62,3,1957.0,no,yes,no,SchwWest,good,no,yes
628.29,75,3,1948.0,no,yes,yes,SchwWest,good,no,yes
482.96,55,2,1957.0,no,yes,no,Maxvor,good,no,yes
843.65,75,3,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
488.08,58,2,1966.0,no,yes,yes,Maxvor,good,no,yes
267.48,36,1,1957.0,no,yes,yes,Neuh-Nymp,normal,no,yes
366.55,78,3,1924.0,no,yes,no,Laim,normal,no,yes
818.08,81,3,1918.0,yes,yes,yes,Lud-Isar,good,no,yes
383.47,44,1,1918.0,no,yes,yes,Neuh-Nymp,normal,no,yes
460.0,71,3,1918.0,no,yes,no,Neuh-Nymp,good,no,yes
244.5,20,1,1918.0,no,no,no,Neuh-Nymp,normal,no,yes
393.7,44,1,1939.0,no,yes,yes,Neuh-Nymp,good,no,yes
818.07,100,4,1924.0,yes,yes,yes,Moos,normal,no,yes
649.36,80,3,1918.0,no,no,yes,Neuh-Nymp,normal,no,yes
971.47,80,3,1988.0,no,yes,yes,Neuh-Nymp,good,no,yes
463.4,40,2,1918.0,no,yes,no,Au-Haid,good,no,yes
541.8,67,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
698.14,102,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
574.62,60,2,1972.0,no,yes,yes,Obgies,normal,no,yes
716.0,81,3,1960.0,no,yes,yes,SchwWest,good,no,yes
299.62,40,2,1948.0,no,yes,yes,Mil-AmH,normal,no,yes
501.07,52,2,1948.0,no,yes,yes,Schwab-Frei,normal,no,yes
676.68,94,4,1918.0,no,yes,yes,Au-Haid,good,no,yes
642.88,55,1,1960.0,no,yes,yes,Bogenh,good,no,yes
579.28,63,2,1991.0,no,yes,yes,Bogenh,normal,no,yes
498.5,65,3,1918.0,no,yes,yes,Obgies,normal,no,yes
420.5,60,2,1918.0,no,no,yes,Obgies,normal,no,yes
329.01,51,2,1966.0,no,yes,yes,All-Umenz,normal,no,yes
169.74,53,2,1960.0,no,no,yes,Moos,normal,no,yes
324.72,56,2,1948.0,no,yes,yes,All-Umenz,normal,no,yes
489.78,60,2,1948.0,no,yes,yes,Pas-Obmenz,good,no,yes
676.46,86,4,1968.0,no,no,yes,Send,normal,no,yes
568.98,52,2,1987.0,no,yes,yes,Ugies-Har,normal,no,yes
408.02,60,2,1966.0,no,yes,yes,Obgies,normal,no,yes
336.29,48,1,1970.0,no,yes,yes,Obgies,normal,no,yes
806.79,92,4,1960.0,no,yes,yes,Obgies,normal,no,yes
623.02,83,3,1973.0,no,yes,yes,Ram-Per,normal,yes,yes
668.34,87,4,1966.0,no,yes,yes,Ram-Per,good,no,yes
230.15,32,1,1975.0,no,yes,yes,BamLaim,normal,no,yes
441.41,65,2,1960.0,no,yes,no,Ugies-Har,normal,no,yes
489.58,71,3,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
602.16,80,3,1918.0,no,yes,no,Au-Haid,good,no,yes
285.7,17,1,1969.0,no,yes,yes,Ugies-Har,normal,no,yes
511.31,55,2,1968.0,no,no,yes,Maxvor,good,no,yes
306.78,40,2,1918.0,no,yes,yes,Alt-Le,good,no,yes
485.24,59,3,1960.0,no,no,yes,Schwab-Frei,good,no,yes
591.67,76,3,1957.0,no,yes,yes,Schwab-Frei,good,no,yes
714.87,97,4,1918.0,no,yes,yes,Maxvor,good,no,yes
850.48,110,4,1960.0,yes,yes,yes,Pas-Obmenz,good,no,yes
1035.68,110,4,1957.0,no,yes,yes,Pas-Obmenz,good,no,yes
386.65,49,2,1993.0,no,yes,yes,Maxvor,good,no,yes
951.81,95,3,1918.0,no,yes,no,Lud-Isar,normal,no,yes
579.81,54,2,1957.0,no,yes,yes,Lud-Isar,good,no,yes
680.03,78,3,1985.0,no,yes,yes,BamLaim,normal,no,yes
450.96,40,2,1991.0,no,yes,yes,Trud-Rie,good,no,yes
968.16,104,4,1998.0,yes,yes,yes,BamLaim,normal,no,yes
369.05,49,2,1957.0,no,yes,yes,Maxvor,good,no,yes
653.16,90,3,1918.0,yes,no,yes,Maxvor,good,yes,yes
479.95,52,2,1957.0,no,yes,yes,Laim,normal,no,yes
533.75,66,2,1966.0,no,yes,yes,Laim,good,no,yes
200.84,65,3,1948.0,no,no,no,Laim,normal,no,no
349.06,57,3,1948.0,no,no,yes,Laim,normal,no,yes
899.73,100,4,1966.0,yes,yes,yes,Laim,good,no,yes
843.64,85,3,1973.0,yes,yes,yes,Th-Ob-Fo-Fu-So,good,no,yes
597.47,87,3,1924.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
1308.94,120,4,1957.0,yes,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
676.77,180,6,1924.0,no,yes,yes,Au-Haid,good,no,no
528.03,54,2,1966.0,no,yes,yes,Bogenh,normal,no,yes
856.24,86,3,1983.0,no,yes,yes,SchwWest,good,no,yes
971.47,92,3,1966.0,no,yes,yes,SchwWest,normal,no,yes
369.84,33,1,1957.0,no,yes,yes,SchwWest,good,no,yes
408.84,52,1,1957.0,no,yes,yes,SchwWest,good,no,yes
334.41,70,3,1924.0,no,yes,yes,SchwWest,good,no,yes
711.56,87,3,1972.0,no,yes,yes,Laim,good,no,yes
563.79,80,4,1918.0,no,yes,no,Send,normal,no,no
585.44,55,2,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
770.34,89,3,1993.0,no,yes,yes,Ugies-Har,top,no,yes
622.11,55,2,1993.0,no,yes,yes,BamLaim,normal,yes,yes
246.18,41,2,1957.0,no,no,yes,BamLaim,normal,no,yes
1173.94,185,6,1918.0,yes,yes,yes,Au-Haid,good,no,yes
537.38,80,3,1957.0,no,yes,yes,Au-Haid,normal,no,yes
293.22,57,2,1966.0,no,yes,yes,BamLaim,normal,no,yes
562.43,59,3,1966.0,no,yes,no,BamLaim,normal,no,yes
383.48,40,1,1969.0,no,yes,yes,Bogenh,good,no,yes
688.31,90,4,1986.0,no,yes,yes,Bogenh,good,no,yes
477.73,53,2,1998.0,no,yes,yes,Bogenh,normal,no,yes
1037.94,98,4,1991.0,no,yes,yes,Bogenh,normal,yes,yes
639.12,55,2,1993.0,no,yes,yes,Ram-Per,good,yes,yes
1091.6,80,3,1957.0,no,yes,yes,Maxvor,good,yes,yes
618.67,76,3,1957.0,no,no,yes,Maxvor,good,no,yes
741.39,79,3,1948.0,no,yes,yes,Maxvor,good,no,yes
312.92,26,1,1967.0,no,yes,yes,Schwab-Frei,good,no,yes
408.32,46,2,1957.0,no,no,yes,Schwab-Frei,normal,no,yes
826.26,93,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
350.63,48,2,1960.0,no,no,yes,Au-Haid,normal,no,yes
383.47,37,1,1957.0,no,yes,yes,Obgies,normal,no,yes
493.43,40,1,1972.0,no,yes,yes,Au-Haid,normal,no,yes
666.51,63,2,1981.0,no,yes,yes,Au-Haid,good,no,yes
664.69,75,3,1971.0,no,yes,yes,Ram-Per,normal,no,yes
551.7,77,3,1971.0,no,no,yes,Ram-Per,normal,no,yes
585.09,72,3,1970.0,no,yes,yes,Ram-Per,normal,no,yes
450.96,70,3,1966.0,yes,yes,yes,Ram-Per,good,no,yes
593.77,78,3,1976.0,yes,yes,yes,Ram-Per,good,no,yes
598.22,67,2,1948.0,no,yes,yes,Schwab-Frei,normal,no,yes
420.15,58,2,1960.0,no,no,yes,Lud-Isar,good,no,yes
618.84,68,2,1948.0,no,yes,no,Obgies,normal,no,yes
507.02,73,3,1957.0,no,yes,yes,Obgies,normal,no,yes
531.75,60,2,1986.0,no,yes,yes,Obgies,normal,yes,yes
734.54,85,4,1918.0,no,yes,yes,Au-Haid,normal,no,yes
1017.49,80,3,1998.0,no,yes,yes,Lud-Isar,good,no,yes
567.55,46,2,1993.0,no,yes,yes,Lud-Isar,normal,no,yes
500.06,61,2,1957.0,no,yes,no,Lud-Isar,normal,no,yes
331.17,38,2,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
593.11,56,2,1957.0,no,yes,yes,Lud-Isar,normal,no,yes
134.37,60,2,1957.0,no,yes,no,Lud-Isar,normal,no,yes
195.72,40,2,1918.0,no,yes,no,Schwanth,normal,no,yes
659.64,100,4,1918.0,no,yes,yes,Schwanth,normal,no,yes
773.08,70,3,1918.0,no,yes,yes,Bogenh,good,no,yes
313.78,73,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
279.21,51,2,1960.0,no,no,yes,Au-Haid,good,no,yes
660.79,66,2,1991.0,no,yes,yes,Trud-Rie,good,yes,yes
474.4,120,4,1918.0,no,yes,yes,Send,normal,no,yes
574.14,65,3,1968.0,no,yes,yes,Send-West,normal,no,yes
180.4,56,2,1957.0,no,no,no,Send-West,normal,no,yes
736.42,117,3,1918.0,no,no,no,Send,normal,no,yes
360.56,76,3,1924.0,no,yes,yes,Send,normal,no,yes
736.9,70,2,1918.0,no,yes,yes,Schwab-Frei,good,no,yes
536.87,50,3,1960.0,no,yes,yes,Feld-Has,normal,no,yes
682.79,68,3,1967.0,no,yes,yes,SchwWest,normal,no,yes
531.76,88,3,1918.0,no,no,no,SchwWest,good,no,yes
372.6,89,3,1993.0,no,no,yes,SchwWest,good,no,yes
575.0,84,3,1957.0,no,yes,yes,Lud-Isar,good,no,yes
282.93,31,1,1957.0,no,yes,yes,Alt-Le,good,no,yes
705.59,88,4,1972.0,yes,yes,yes,Feld-Has,normal,no,yes
513.26,69,2,1966.0,no,yes,yes,Feld-Has,normal,no,yes
1004.0,90,4,2000.0,yes,yes,yes,Moos,normal,no,yes
434.6,56,2,1966.0,no,yes,yes,Moos,normal,no,yes
448.55,74,3,1960.0,no,yes,yes,Obgies,normal,no,yes
564.65,63,2,1957.0,no,yes,yes,Obgies,normal,no,yes
423.99,54,2,1971.0,no,yes,yes,Obgies,normal,no,yes
684.73,86,4,1977.0,no,no,yes,Ram-Per,normal,no,yes
1043.73,106,3,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
276.33,87,4,1948.0,no,yes,yes,Neuh-Nymp,normal,no,yes
310.91,33,2,1966.0,no,no,yes,Neuh-Nymp,good,no,yes
460.17,53,2,1918.0,no,yes,yes,Neuh-Nymp,good,yes,yes
363.77,72,3,1948.0,no,no,yes,Neuh-Nymp,normal,no,yes
509.0,78,3,1968.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
643.26,63,3,1948.0,no,yes,no,Had,good,no,no
385.61,78,3,1966.0,no,yes,yes,Send-West,good,no,yes
700.68,74,4,1974.0,no,yes,yes,Ram-Per,normal,no,yes
380.62,40,1,1988.0,no,yes,yes,Trud-Rie,good,no,yes
399.49,52,2,1969.0,no,yes,yes,Trud-Rie,good,no,yes
999.22,130,4,2000.0,yes,yes,yes,Trud-Rie,good,no,yes
687.26,71,3,1966.0,no,yes,yes,Obgies,normal,no,yes
394.21,53,2,1957.0,no,yes,yes,Lud-Isar,normal,no,yes
435.21,65,2,1957.0,yes,no,yes,Lud-Isar,normal,no,yes
370.72,67,2,1918.0,no,yes,yes,Schwanth,normal,no,yes
368.13,31,1,1985.0,no,yes,yes,Mil-AmH,normal,no,yes
1073.73,115,4,2000.0,yes,yes,yes,Schwab-Frei,normal,no,yes
620.34,107,4,1971.0,no,yes,yes,Schwab-Frei,normal,no,yes
413.09,56,2,1998.0,no,yes,yes,Schwab-Frei,normal,yes,yes
724.37,79,3,1966.0,no,yes,yes,Laim,good,no,yes
384.03,56,2,1969.0,no,yes,yes,Laim,good,no,yes
1057.04,99,3,1989.0,no,yes,yes,Pas-Obmenz,normal,yes,yes
494.07,59,2,1983.0,no,yes,yes,Had,normal,no,yes
465.74,72,2,1924.0,no,no,yes,Moos,normal,no,yes
265.22,90,4,1918.0,no,yes,no,Neuh-Nymp,normal,no,no
343.3,68,3,1957.0,no,no,no,Maxvor,good,no,no
398.54,61,3,1966.0,no,no,yes,Neuh-Nymp,normal,no,yes
787.2,80,2,1924.0,no,no,no,Neuh-Nymp,good,no,yes
706.83,60,2,1993.0,no,no,yes,Neuh-Nymp,good,no,yes
220.81,50,2,1957.0,no,no,no,Neuh-Nymp,normal,no,no
562.43,65,3,1966.0,no,yes,yes,Send-West,normal,no,yes
392.8,72,4,1970.0,yes,yes,yes,Send-West,normal,no,yes
299.57,34,2,1957.0,no,yes,yes,Send,normal,no,yes
550.53,68,3,1918.0,no,yes,yes,Send,normal,no,yes
383.69,37,1,1966.0,yes,no,yes,Send,normal,no,yes
224.61,26,1,1960.0,no,yes,no,Maxvor,good,no,yes
613.05,74,3,1969.0,no,yes,yes,Ram-Per,normal,no,yes
583.2,71,3,1973.0,yes,yes,yes,Ram-Per,good,no,yes
573.43,100,5,1967.0,yes,yes,yes,Au-Lo-La,normal,no,yes
807.86,85,3,1983.0,yes,yes,yes,Au-Lo-La,normal,no,yes
398.69,32,1,1972.0,no,no,yes,Mil-AmH,normal,no,yes
367.65,64,2,1971.0,no,yes,yes,Schwab-Frei,normal,no,yes
372.63,38,2,1971.0,no,yes,yes,Mil-AmH,normal,no,yes
618.67,75,2,1996.0,no,yes,yes,Feld-Has,normal,no,yes
484.02,65,2,1970.0,no,no,yes,All-Umenz,normal,yes,yes
568.35,69,2,1966.0,no,yes,yes,Moos,normal,no,yes
381.87,65,2,1981.0,no,yes,yes,Neuh-Nymp,good,no,yes
480.74,59,2,1975.0,no,yes,yes,Moos,normal,no,yes
1298.7,120,5,1990.0,no,yes,yes,Moos,normal,no,yes
392.95,30,1,1970.0,no,yes,yes,Au-Haid,normal,no,yes
1232.0,112,4,1918.0,yes,yes,yes,Au-Haid,good,yes,yes
462.8,40,1,1970.0,no,yes,yes,Au-Haid,normal,no,yes
460.17,54,2,1986.0,no,yes,yes,Send-West,normal,no,yes
418.24,61,2,1974.0,no,yes,yes,Send-West,normal,no,yes
423.51,77,3,1966.0,no,no,yes,Send-West,normal,no,yes
817.22,114,4,1974.0,yes,yes,yes,Send-West,normal,no,yes
210.76,92,3,1948.0,no,yes,yes,Bogenh,good,no,yes
1578.39,130,4,1998.0,no,yes,yes,Au-Haid,good,no,yes
950.01,87,3,1974.0,no,yes,yes,Au-Haid,good,no,yes
422.07,40,1,1997.0,no,yes,yes,Moos,normal,no,yes
418.73,51,2,2000.0,no,yes,yes,Moos,normal,yes,yes
927.08,100,4,1970.0,no,yes,yes,Feld-Has,normal,no,yes
404.79,58,3,1969.0,no,yes,yes,Moos,normal,no,yes
625.1,83,3,1972.0,no,yes,yes,Moos,normal,no,yes
827.69,93,3,1939.0,no,yes,yes,Lud-Isar,good,no,yes
614.58,85,2,1918.0,no,yes,yes,Lud-Isar,good,no,yes
452.16,68,2,1957.0,yes,yes,yes,Lud-Isar,good,no,yes
450.73,67,3,1957.0,no,yes,yes,Lud-Isar,good,no,yes
135.21,45,2,1924.0,no,no,yes,Ram-Per,normal,no,yes
394.61,65,3,1960.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
444.41,37,2,1973.0,no,yes,yes,Th-Ob-Fo-Fu-So,good,no,yes
598.82,87,3,1972.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
269.25,52,2,1924.0,no,yes,yes,Ram-Per,normal,no,yes
399.5,83,4,1960.0,no,no,yes,BamLaim,normal,no,yes
766.95,75,2,1924.0,no,no,yes,Maxvor,good,no,yes
875.24,81,4,1966.0,no,no,yes,Alt-Le,good,no,yes
425.64,74,3,1924.0,no,no,yes,SchwWest,normal,no,yes
419.46,33,1,1957.0,no,no,yes,SchwWest,good,no,yes
547.15,71,3,1966.0,no,yes,yes,Neuh-Nymp,normal,no,yes
601.59,60,2,1979.0,no,yes,yes,Neuh-Nymp,good,no,yes
815.53,77,3,1985.0,no,yes,yes,Lud-Isar,good,no,yes
196.85,26,1,1960.0,no,yes,yes,Lud-Isar,good,no,yes
635.0,92,3,1918.0,no,yes,yes,Lud-Isar,good,no,yes
1266.05,105,4,1918.0,yes,yes,yes,Maxvor,normal,no,yes
337.5,42,1,1957.0,no,no,yes,Maxvor,normal,no,yes
399.61,79,3,1957.0,no,no,no,Schwanth,normal,no,yes
359.02,65,2,1918.0,no,yes,yes,Schwanth,normal,no,yes
390.57,33,2,1957.0,no,no,yes,Schwanth,normal,no,yes
279.53,51,2,1957.0,no,no,no,Schwanth,normal,no,yes
908.72,120,6,1957.0,yes,yes,yes,Trud-Rie,good,no,yes
713.27,87,3,1966.0,no,yes,yes,Trud-Rie,good,no,yes
966.36,89,5,1988.0,no,yes,yes,Trud-Rie,good,no,yes
590.54,61,2,1987.0,no,yes,yes,BamLaim,good,yes,yes
652.49,74,3,1983.0,no,yes,yes,Trud-Rie,good,no,yes
637.82,81,3,1967.0,no,yes,yes,Trud-Rie,good,no,yes
494.53,87,3,1948.0,no,yes,yes,SchwWest,normal,no,yes
741.38,60,3,1960.0,no,yes,yes,Lud-Isar,normal,yes,yes
623.65,85,3,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
690.26,79,3,1957.0,no,no,yes,Lud-Isar,normal,no,yes
1661.55,150,5,1966.0,no,no,yes,Bogenh,normal,no,yes
583.32,63,2,1983.0,no,yes,yes,Bogenh,good,no,yes
570.1,58,2,1957.0,no,yes,yes,Bogenh,normal,no,yes
874.32,78,2,1918.0,no,yes,yes,Au-Haid,good,yes,yes
1452.93,125,4,1918.0,no,yes,yes,Au-Haid,good,yes,yes
270.71,58,2,1948.0,no,yes,yes,Ram-Per,normal,no,yes
305.45,62,3,1918.0,no,yes,yes,Ram-Per,normal,no,yes
337.35,32,1,1966.0,no,yes,yes,Maxvor,good,no,yes
290.42,28,1,1972.0,no,yes,yes,Maxvor,good,no,yes
541.39,103,4,1918.0,no,yes,yes,Maxvor,good,no,yes
723.59,115,4,1918.0,no,yes,yes,Maxvor,good,no,yes
797.51,77,3,1957.0,no,yes,yes,Maxvor,good,no,yes
715.82,79,3,1966.0,yes,yes,yes,Maxvor,good,no,yes
1022.68,105,3,1918.0,no,yes,yes,Maxvor,good,no,yes
559.54,59,2,1989.0,no,yes,yes,Schwab-Frei,normal,no,yes
479.41,70,3,1957.0,no,yes,yes,Maxvor,good,no,yes
327.52,32,1,1972.0,no,yes,yes,Maxvor,good,no,yes
410.57,33,1,1966.0,no,yes,yes,Send-West,normal,no,yes
393.37,61,2,1966.0,no,no,yes,Send-West,normal,no,yes
229.06,40,2,1918.0,no,no,no,Send,normal,no,yes
342.57,64,3,1957.0,no,yes,yes,Bogenh,normal,no,yes
560.58,61,3,1957.0,no,yes,yes,Bogenh,normal,no,yes
364.3,47,2,1967.0,no,yes,yes,Pas-Obmenz,normal,no,yes
484.01,57,2,1960.0,no,yes,yes,Ugies-Har,normal,no,yes
464.56,45,2,1968.0,no,yes,yes,All-Umenz,good,no,yes
270.07,64,2,1996.0,no,yes,yes,All-Umenz,normal,yes,yes
561.35,80,3,1966.0,yes,no,yes,All-Umenz,normal,no,yes
520.49,107,4,1957.0,no,yes,yes,Feld-Has,normal,no,yes
387.24,61,3,1966.0,no,yes,yes,Mil-AmH,normal,no,yes
328.39,48,2,1966.0,no,no,yes,Mil-AmH,normal,no,yes
657.68,65,3,1960.0,no,yes,yes,Mil-AmH,normal,no,yes
815.71,75,3,1998.0,no,no,yes,Mil-AmH,normal,yes,yes
319.21,69,3,1957.0,no,yes,yes,Maxvor,good,no,yes
460.17,68,2,1918.0,no,no,yes,Alt-Le,good,no,yes
603.34,62,3,1957.0,no,no,yes,Maxvor,good,no,yes
286.0,36,1,1948.0,no,no,yes,Maxvor,good,no,yes
989.17,85,3,1918.0,no,yes,no,Maxvor,good,no,yes
655.48,78,3,1960.0,no,yes,yes,SchwWest,good,no,yes
345.75,69,2,1957.0,no,yes,yes,Maxvor,good,no,yes
609.58,70,2,1957.0,no,yes,yes,Maxvor,good,no,yes
782.19,61,2,1957.0,no,yes,yes,Maxvor,good,yes,yes
355.36,42,2,1966.0,no,yes,yes,Pas-Obmenz,good,no,yes
644.34,82,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
243.44,62,3,1918.0,no,yes,yes,Obgies,normal,no,no
392.18,51,1,1966.0,no,no,yes,Obgies,normal,no,yes
568.93,64,2,1989.0,yes,yes,yes,Send-West,normal,no,yes
535.92,70,3,1966.0,no,yes,yes,Laim,normal,no,yes
254.75,24,1,1960.0,no,no,yes,Laim,good,no,yes
1003.38,102,4,1996.0,no,yes,yes,Laim,normal,no,yes
415.57,57,2,1974.0,no,yes,yes,Had,normal,no,yes
713.26,85,4,1975.0,no,yes,yes,Had,good,no,yes
661.5,90,3,1966.0,no,yes,yes,Send,normal,no,yes
352.68,49,2,1993.0,no,yes,yes,Neuh-Nymp,top,no,yes
1385.12,128,6,1991.0,no,no,yes,Neuh-Nymp,good,no,yes
738.8,70,3,1948.0,no,yes,yes,Neuh-Nymp,good,no,yes
306.61,24,2,1918.0,no,no,yes,Neuh-Nymp,good,no,yes
582.37,62,2,1966.0,no,yes,yes,Neuh-Nymp,good,no,yes
920.33,125,5,1924.0,no,yes,yes,Neuh-Nymp,good,no,yes
